Date,Time,Source IP Address,Destination IP Address,Destination port
Jan 29,00:04:42,72.197.8.56,9258 ,4
Jan 29,00:04:42,71.228.199.109,37091 ,4
Jan 29,00:04:42,99.248.20.48,48725 ,4
Jan 29,00:04:42,75.117.31.43,3122 ,4
Jan 29,00:04:42,58.160.93.74,24824 ,4
Jan 29,00:15:05,69.115.209.62,52037 ,4
Jan 29,00:15:05,71.228.199.109,2528 ,4
Jan 29,00:15:05,63.227.65.151,63271 ,4
Jan 29,00:15:06,76.87.248.152,61943 ,4
Jan 29,00:15:06,201.26.136.92,61704 ,4
Jan 29,00:15:25,70.189.221.153,4933 ,4
Jan 29,00:15:50,59.100.237.219,3067 ,4
Jan 29,00:24:02,66.214.36.72,63656 ,4
Jan 29,00:34:42,24.174.141.170,41573 ,4
Jan 29,00:34:42,99.251.241.22,15658 ,4
Jan 29,00:34:42,75.27.233.174,9655 ,4
Jan 29,00:34:43,91.139.26.208,4174 ,4
Jan 29,00:34:43,72.129.201.114,36319 ,4
Jan 29,00:36:52,79.186.174.12,6348 ,4
Jan 29,00:45:04,71.228.199.109,2720 ,4
Jan 29,00:45:05,69.139.205.220,1264 ,4
Jan 29,00:45:05,66.24.36.155,65522 ,4
Jan 29,00:45:05,210.213.141.86,61459 ,4
Jan 29,00:45:07,66.24.36.155,65522 ,4
Jan 29,00:45:30,205.250.109.214,4895 ,4
Jan 29,01:04:42,72.129.201.114,36319 ,4
Jan 29,01:04:42,68.43.45.155,31159 ,4
Jan 29,01:04:42,68.46.224.58,16587 ,4
Jan 29,01:04:43,71.194.107.51,1881 ,4
Jan 29,01:04:43,67.8.58.212,43500 ,4
Jan 29,01:10:47,24.149.194.222,63242 ,4
Jan 29,01:15:02,72.230.93.214,62286 ,4
Jan 29,01:15:04,67.173.3.23,54734 ,4
Jan 29,01:15:05,75.171.122.220,60557 ,4
Jan 29,01:15:05,68.81.84.44,61443 ,4
Jan 29,01:15:07,67.173.3.23,54734 ,4
Jan 29,01:15:23,75.132.195.128,1840 ,4
Jan 29,01:34:42,68.206.75.25,18422 ,4
Jan 29,01:34:42,75.171.122.220,8870 ,4
Jan 29,01:34:42,72.129.201.114,36319 ,4
Jan 29,01:34:43,24.166.109.127,39765 ,4
Jan 29,01:34:43,76.250.142.171,36318 ,4
Jan 29,01:45:05,69.115.209.62,52728 ,4
Jan 29,01:45:05,99.251.241.22,64158 ,4
Jan 29,01:45:05,72.129.201.114,58327 ,4
Jan 29,01:45:07,72.129.201.114,58327 ,4
Jan 29,01:45:08,69.115.209.62,52728 ,4
Jan 29,02:04:42,71.194.107.51,1881 ,4
Jan 29,02:04:42,74.12.248.246,60066 ,4
Jan 29,02:04:42,98.207.166.40,61989 ,4
Jan 29,02:04:42,70.189.221.153,39280 ,4
Jan 29,02:04:42,68.206.75.25,18422 ,4
Jan 29,02:15:05,83.8.141.56,1212 ,4
Jan 29,02:15:05,24.67.56.239,2921 ,4
Jan 29,02:15:06,24.166.109.127,3430 ,4
Jan 29,02:15:06,72.229.247.131,1880 ,4
Jan 29,02:15:08,24.67.56.239,2921 ,4
Jan 29,02:15:32,75.138.144.249,1831 ,4
Jan 29,02:15:47,75.138.144.249,1832 ,4
Jan 29,02:34:42,99.237.83.20,46011 ,4
Jan 29,02:34:42,67.174.105.41,10794 ,4
Jan 29,02:34:42,98.207.166.40,61989 ,4
Jan 29,02:34:42,71.228.199.109,37091 ,4
Jan 29,02:34:42,70.189.221.153,39280 ,4
Jan 29,02:45:04,67.174.105.41,4358 ,4
Jan 29,02:45:05,74.161.10.148,10306 ,4
Jan 29,02:45:05,122.24.143.91,1098 ,4
Jan 29,02:45:06,98.207.166.40,60001 ,4
Jan 29,02:45:07,67.174.105.41,4358 ,4
Jan 29,02:45:25,75.117.31.43,61089 ,4
Jan 29,02:55:11,74.161.10.148,10306 ,4
Jan 29,02:59:05,76.26.35.233,6346 ,4
Jan 29,03:01:17,68.81.84.44,63422 ,4
Jan 29,03:04:42,74.133.109.145,31706 ,4
Jan 29,03:04:42,24.166.109.127,39765 ,4
Jan 29,03:15:06,24.165.92.109,3515 ,4
Jan 29,03:15:07,79.64.233.230,2073 ,4
Jan 29,03:15:09,24.165.92.109,3515 ,4
Jan 29,03:15:22,79.64.233.230,2074 ,4
Jan 29,03:15:57,203.173.191.14,4644 ,4
Jan 29,03:16:03,203.173.191.14,4645 ,4
Jan 29,03:31:27,78.53.64.123,35053 ,4
Jan 29,03:31:27,78.53.64.123,35053 ,4
Jan 29,03:31:28,78.53.64.123,35053 ,4
Jan 29,03:34:42,67.82.213.195,21984 ,4
Jan 29,03:34:43,24.174.141.170,41573 ,4
Jan 29,03:34:43,86.150.137.160,13648 ,4
Jan 29,03:34:43,203.173.191.14,35461 ,4
Jan 29,03:34:43,72.74.229.181,50521 ,4
Jan 29,03:45:05,75.117.31.43,61308 ,4
Jan 29,03:45:05,72.129.201.114,59557 ,4
Jan 29,03:45:05,64.56.143.6,2082 ,4
Jan 29,03:45:05,59.100.237.219,4149 ,4
Jan 29,04:00:56,87.99.7.181,6348 ,4
Jan 29,04:00:57,87.99.7.181,6348 ,4
Jan 29,04:00:58,87.99.7.181,6348 ,4
Jan 29,04:00:59,87.99.7.181,6348 ,4
Jan 29,04:01:00,87.99.7.181,6348 ,4
Jan 29,04:01:16,87.99.7.181,6348 ,4
Jan 29,04:04:42,69.115.209.62,18019 ,4
Jan 29,04:04:42,71.14.121.15,17145 ,4
Jan 29,04:04:42,68.12.143.82,23960 ,4
Jan 29,04:04:42,72.74.229.181,50521 ,4
Jan 29,04:04:42,24.67.56.239,43311 ,4
Jan 29,04:10:13,84.58.185.23,33634 ,4
Jan 29,04:15:04,74.75.29.197,60863 ,4
Jan 29,04:15:05,75.164.140.156,2209 ,4
Jan 29,04:15:05,66.191.18.21,65397 ,4
Jan 29,04:15:07,74.75.29.197,60863 ,4
Jan 29,04:15:08,75.164.140.156,2209 ,4
Jan 29,04:15:30,68.81.84.44,62410 ,4
Jan 29,04:15:45,99.245.91.141,61381 ,4
Jan 29,04:21:14,83.11.117.100,6346 ,4
Jan 29,04:34:42,68.12.143.82,23960 ,4
Jan 29,04:34:43,71.206.130.118,24439 ,4
Jan 29,04:34:43,76.17.177.237,4226 ,4
Jan 29,04:34:43,24.166.109.127,39765 ,4
Jan 29,04:34:43,24.165.92.109,9541 ,4
Jan 29,04:35:31,71.206.130.118,3134 ,4
Jan 29,04:35:43,71.206.130.118,3135 ,4
Jan 29,04:44:57,195.205.8.254,6346 ,4
Jan 29,04:44:58,195.205.8.254,6346 ,4
Jan 29,04:44:59,195.205.8.254,6346 ,4
Jan 29,04:45:00,195.205.8.254,6346 ,4
Jan 29,04:45:01,195.205.8.254,6346 ,4
Jan 29,04:58:54,75.121.38.232,37293 ,4
Jan 29,05:53:11,220.64.219.189,6000 ,4
Jan 29,06:02:09,80.207.16.18,10435 ,4
Jan 29,06:02:11,80.207.16.18,10435 ,4
Jan 29,06:02:11,80.207.16.18,10435 ,4
Jan 29,06:02:13,80.207.16.18,10435 ,4
Jan 29,06:02:14,80.207.16.18,10435 ,4
Jan 29,07:26:33,99.233.139.230,55119 ,4
Jan 29,07:26:36,99.233.139.230,55119 ,4
Jan 29,07:26:39,99.233.139.230,55121 ,4
Jan 29,07:26:42,99.233.139.230,55121 ,4
Jan 29,07:26:42,99.233.139.230,55119 ,4
Jan 29,11:17:19,89.49.78.88,61731 ,4
Jan 29,11:17:19,89.49.78.88,61731 ,4
Jan 29,11:17:20,89.49.78.88,61731 ,4
Jan 29,11:17:21,89.49.78.88,61731 ,4
Jan 29,11:17:22,89.49.78.88,61731 ,4
Jan 29,12:18:21,79.185.83.220,6346 ,4
Jan 29,12:18:22,79.185.83.220,6346 ,4
Jan 29,12:18:23,79.185.83.220,6346 ,4
Jan 29,12:18:24,79.185.83.220,6346 ,4
Jan 29,12:18:25,79.185.83.220,6346 ,4
Jan 29,12:47:15,201.211.103.168,1477 ,4
Jan 29,12:47:18,201.211.103.168,1477 ,4
Jan 29,12:47:24,201.211.103.168,1477 ,4
